date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:50	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202024%2017:26:50%20GMT	https://codemirror.net/robots.txt		(from )
12:26:50	13656/13656	---MCZ	200	added ('OK')	text/html	etag:W/%22668252dd-3558%22	https://codemirror.net/	C:/Users/Admin/Desktop/codemirror/codemirror.net/index.html	(from )
12:26:50	145/145	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2001%20Jul%202024%2017:26:50%20GMT	http://codemirror.net/style/logo.svg	C:/Users/Admin/Desktop/codemirror/codemirror.net/style/logo.0.delayed	(from https://codemirror.net/)
12:26:51	7056/7056	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262d93f0d-1b90%22	https://codemirror.net/style/logo.svg	C:/Users/Admin/Desktop/codemirror/codemirror.net/style/logo.svg	(from https://codemirror.net/)
12:26:51	7226/7226	---MCZ	200	added ('OK')	text/css	etag:W/%22635793be-1c3a%22	https://codemirror.net/style/site.css	C:/Users/Admin/Desktop/codemirror/codemirror.net/style/site.css	(from https://codemirror.net/)
12:26:51	5264/5264	---MCZ	200	added ('OK')	text/html	etag:W/%22668252dd-1490%22	https://codemirror.net/examples/	C:/Users/Admin/Desktop/codemirror/codemirror.net/examples/index.html	(from https://codemirror.net/)
12:26:51	429/429	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668252df-1ad%22	https://codemirror.net/demo.js	C:/Users/Admin/Desktop/codemirror/codemirror.net/demo.js	(from https://codemirror.net/)
12:26:52	169/169	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Jul%202024%2017:26:51%20GMT	https://codemirror.net/docs/community	C:/Users/Admin/Desktop/codemirror/codemirror.net/docs/community	(from https://codemirror.net/)
12:26:52	1416901/1416901	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668252e5-159ec5%22	https://codemirror.net/codemirror.js	C:/Users/Admin/Desktop/codemirror/codemirror.net/codemirror.js	(from https://codemirror.net/)
12:26:52	2460/2460	---MCZ	200	added ('OK')	text/html	etag:W/%22668252da-99c%22	https://codemirror.net/docs/	C:/Users/Admin/Desktop/codemirror/codemirror.net/docs/index.html	(from https://codemirror.net/)
